x-axis,1,2,F1
second,Volt,Volt,Volt
+109.50000E-06,+14.98734472330E+00,+15.07796964230E+00,+90.58137804E-03
+109.55000E-06,+14.99721865530E+00,+15.09210669296E+00,+94.84199713E-03
+109.60000E-06,+15.00261181213E+00,+15.10044288781E+00,+97.78503220E-03
+109.65000E-06,+15.00515683876E+00,+15.10435914289E+00,+99.15553191E-03
+109.70000E-06,+15.00527837764E+00,+15.10464804675E+00,+99.32206761E-03
+109.75000E-06,+15.00271277958E+00,+15.10067805162E+00,+97.91777588E-03
+109.80000E-06,+14.99929733879E+00,+15.09527324133E+00,+95.93074241E-03
+109.85000E-06,+14.99415324096E+00,+15.08838625433E+00,+94.18735245E-03
+109.90000E-06,+14.98841379944E+00,+15.08222818024E+00,+93.76876736E-03
+109.95000E-06,+14.98275982838E+00,+15.07595583296E+00,+93.15104425E-03
+110.00000E-06,+14.97689685348E+00,+15.07066238702E+00,+93.72100308E-03
+110.05000E-06,+14.97102349977E+00,+15.06610557270E+00,+95.03751283E-03
+110.10000E-06,+14.96497257639E+00,+15.06176628749E+00,+96.74764738E-03
+110.15000E-06,+14.95911801067E+00,+15.05613793895E+00,+96.97355357E-03
+110.20000E-06,+14.95364041530E+00,+15.05120233390E+00,+97.51543840E-03
+110.25000E-06,+14.94789539731E+00,+15.04688892825E+00,+98.94720858E-03
+110.30000E-06,+14.94269391037E+00,+15.04203865196E+00,+99.29781867E-03
+110.35000E-06,+14.93669755771E+00,+15.03412945439E+00,+97.38621473E-03
+110.40000E-06,+14.93099811558E+00,+15.02731987842E+00,+96.27651094E-03
+110.45000E-06,+14.92611928757E+00,+15.02386537520E+00,+97.69999490E-03
+110.50000E-06,+14.92110711421E+00,+15.01917103506E+00,+98.01720637E-03
+110.55000E-06,+14.91729945408E+00,+15.01864192233E+00,+101.29379732E-03
+110.60000E-06,+14.91244313171E+00,+15.01296160814E+00,+100.47152004E-03
+110.65000E-06,+14.90836041542E+00,+15.01017238063E+00,+101.76394679E-03
+110.70000E-06,+14.90425023061E+00,+15.00696361525E+00,+102.66507775E-03
+110.75000E-06,+14.89957341362E+00,+14.99859184873E+00,+98.97175249E-03
+110.80000E-06,+14.89553960942E+00,+14.99472937667E+00,+99.14244783E-03
+110.85000E-06,+14.89133900105E+00,+14.98917637984E+00,+97.79053447E-03
+110.90000E-06,+14.88751393838E+00,+14.98573105465E+00,+98.16941158E-03
